Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10
1630651112.0520418,22.0275390625,1004.048526388066,46.515669382448856,0,1,2
1630651113.177802,22.0326171875,1004.0303201033454,46.39380595393838,0,1,2
1630651114.3037138,22.0275390625,1004.0444022684017,46.36755023163949,0,1,2
1630651115.4296663,22.0376953125,1003.9869179326721,46.409901607539084,0,1,2
1630651116.5561802,22.0376953125,1004.0003955215229,46.494602777867215,0,1,2
1630651117.6823454,22.0376953125,1004.0280910772069,46.42556856365977,0,1,2
1630651118.8083174,22.0376953125,1003.9934900759213,46.457649818566715,0,1,2
1630651119.9342792,22.0376953125,1004.0175293753134,46.5213924915252,0,1,2
1630651121.060137,22.0376953125,1003.9840840071329,46.43118035079656,0,1,2
1630651122.1861687,22.0376953125,1004.0033113523036,46.44155728022818,0,1,2
1630651123.3120055,22.0326171875,1003.982187795128,46.47353140038469,0,1,2
1630651124.4385498,22.0376953125,1003.9946456988749,46.457649818566715,0,1,2
1630651125.565253,22.0326171875,1003.9876045706908,46.441768162615645,0,1,2
1630651126.6943479,22.0376953125,1004.0332364135865,46.46834534432735,0,1,2
1630651127.8208528,22.042578125,1004.0191540286005,46.38904254577238,0,1,2
1630651128.947212,22.042578125,1004.0473188042712,46.44187565705208,0,1,2
1630651130.0741317,22.042578125,1004.0033113523036,46.51048401255414,0,1,2
1630651131.2005565,22.0376953125,1004.0156334332445,46.47904106902657,0,1,2
1630651132.3270571,22.0376953125,1004.0209143264121,46.37845432770272,0,1,2
1630651133.4533725,22.04765625,1004.0331007891754,46.41021888306305,0,1,2
1630651134.5805488,22.052734375,1004.0033113523036,46.35738020556717,0,1,2
1630651135.7067595,22.0376953125,1004.0122485255689,46.48952094587802,0,1,2
1630651136.8329399,22.0326171875,1003.97751203514,46.43128772448158,0,1,2
1630651137.9590342,22.042578125,1004.0068319464131,46.52657793145956,0,1,2
1630651139.087192,22.042578125,1004.015497665871,46.41561599825301,0,1,2
1630651140.2134774,22.042578125,1004.0066961075581,46.44738055596571,0,1,2
1630651141.3397598,22.04765625,1004.0068319464131,46.436581694885426,0,1,2
1630651142.4659882,22.04765625,1004.0085922436011,46.3997336081895,0,1,2
1630651143.592602,22.04765625,1004.021933870824,46.41032187646941,0,1,2
1630651144.7187762,22.04765625,1004.0085922436011,46.39433664245112,0,1,2
1630651145.845146,22.04765625,1004.0379127342176,46.43149831417841,0,1,2
1630651146.9717977,22.052734375,1004.0255904489941,46.47925270572325,0,1,2
1630651148.0979269,22.042578125,1003.9629606332658,46.441983141877486,0,1,2
1630651149.2241704,22.04765625,1004.0066961075581,46.51101703257307,0,1,2
1630651150.3503687,22.0576171875,1003.9851029711258,46.45257116224987,0,1,2
1630651151.47665,22.0576171875,1004.0097475172615,46.47914481712598,0,1,2
1630651152.6036909,22.0576171875,1003.9937684379506,46.45257116224987,0,1,2
1630651153.7323573,22.0576171875,1004.0043304726065,46.47925270572325,0,1,2
1630651154.8589792,22.052734375,1003.9779253919776,46.389252169167456,0,1,2
1630651155.9852984,22.0576171875,1003.9867270832942,46.431605659399985,0,1,2
1630651157.1116996,22.04765625,1004.0132681681342,46.46337043108863,0,1,2
1630651158.2382045,22.04765625,1003.9883511154945,46.415723162345955,0,1,2
1630651159.3646548,22.052734375,1004.0166528504237,46.426311501953066,0,1,2
1630651160.4920866,22.052734375,1003.9955287768373,46.42641877718757,0,1,2
1630651161.6181383,22.04765625,1004.0044665416203,46.40513478978782,0,1,2
1630651162.7440946,22.0576171875,1003.9796857300629,46.37887306378065,0,1,2
1630651163.8700686,22.0576171875,1004.0200374816051,46.43711046090339,0,1,2
1630651164.9961152,22.0576171875,1003.9868632952708,46.431605659399985,0,1,2
1630651166.1219702,22.0576171875,1004.0213283986981,46.39465329725303,0,1,2
1630651167.2478135,22.0626953125,1003.9865907626678,46.47936058470958,0,1,2
1630651168.373749,22.0576171875,1004.0305996100539,46.27288287681618,0,1,2
1630651169.5006874,22.0576171875,1003.9974252420118,46.346898151718555,0,1,2
1630651170.6266508,22.052734375,1003.9991855667805,46.325720945287955,0,1,2
1630651171.7524633,22.0576171875,1004.011371830825,46.29395488850938,0,1,2
1630651172.8785641,22.04765625,1003.9956649173324,46.26748294798895,0,1,2
1630651174.004486,22.0576171875,1004.0291111014698,46.315132292646126,0,1,2
1630651175.130478,22.0576171875,1003.9820517561255,46.421017336268385,0,1,2
1630651176.2562969,22.04765625,1004.0288392550897,46.33630956497876,0,1,2
1630651177.3823795,22.052734375,1004.0379127342176,46.34679177253591,0,1,2
1630651178.5088866,22.0576171875,1004.0552445889017,46.34668947579647,0,1,2
1630651179.6348166,22.052734375,1004.0238301228898,46.441983141877486,0,1,2
1630651180.760171,22.052734375,1004.0308714278412,46.315132292646126,0,1,2
1630651181.8862123,22.04765625,1004.0273507751875,46.441983141877486,0,1,2
1630651183.0121303,22.0576171875,1003.9939045927421,46.33122354288529,0,1,2
1630651184.137927,22.0576171875,1004.0394013862102,46.33620330655438,0,1,2
1630651185.2637396,22.0677734375,1004.0097475172615,46.325720945287955,0,1,2
1630651186.3896763,22.04765625,1004.0366214149049,46.272464782069065,0,1,2
1630651187.5160124,22.04765625,1004.0207786019273,46.29395488850938,0,1,2
1630651188.643625,22.052734375,1004.0332364135865,46.219832936073544,0,1,2
1630651189.7696888,22.0376953125,1004.0519953512443,46.35717127392191,0,1,2
1630651190.8958392,22.042578125,1004.0289752326046,46.30433587862784,0,1,2
1630651192.0232127,22.052734375,1004.0255904489941,46.315026275740514,0,1,2
1630651193.1497962,22.0576171875,1004.0748796160682,46.29914341613566,0,1,2
1630651194.2763102,22.0576171875,1004.0519953512443,46.27267181870954,0,1,2
1630651195.402878,22.04765625,1004.0331007891754,46.283366137014475,0,1,2
1630651196.530645,22.052734375,1004.0524642350953,46.26748294798895,0,1,2
1630651197.6569817,22.052734375,1004.0518596682311,46.29395488850938,0,1,2
1630651198.7832026,22.04765625,1004.0449540420185,46.33620330655438,0,1,2
1630651199.910135,22.0576171875,1004.032495914029,46.288554801877915,0,1,2
1630651201.0370908,22.04765625,1004.0331007891754,46.33620330655438,0,1,2
1630651202.1635115,22.04765625,1004.0465786432892,46.39963073089249,0,1,2
1630651203.2899003,22.042578125,1004.0606613782488,46.28845314377273,0,1,2
1630651204.4163125,22.04765625,1004.0747441189078,46.36807522634505,0,1,2
1630651205.543486,22.042578125,1004.0331007891754,46.32021853934648,0,1,2
1630651206.66939,22.04765625,1004.0209143264121,46.32021853934648,0,1,2
1630651207.795403,22.0576171875,1004.0559848627839,46.30983795396857,0,1,2
1630651208.92137,22.042578125,1004.0449540420185,46.262188535171596,0,1,2
1630651210.047424,22.0576171875,1004.0342562548749,46.320532690760224,0,1,2
1630651211.1733308,22.04765625,1004.0465786432892,46.29914341613566,0,1,2
1630651212.2993033,22.052734375,1004.0659424053281,46.17727192396556,0,1,2
1630651213.4254642,22.04765625,1004.0244349223024,46.25149439249243,0,1,2
1630651214.5520744,22.04765625,1004.0643176458178,46.203743972462725,0,1,2
1630651215.68059,22.052734375,1004.0449540420185,46.41021888306305,0,1,2
1630651216.8067784,22.0376953125,1004.0138731357001,46.32021853934648,0,1,2
1630651217.933138,22.04765625,1004.0624217205195,46.272570334781136,0,1,2
1630651219.0593328,22.042578125,1004.0157690919762,46.35727779271476,0,1,2
1630651220.1856756,22.0376953125,1004.0137373540304,46.29374739696182,0,1,2
1630651221.311783,22.052734375,1004.0279555185489,46.29904164191352,0,1,2
1630651222.4380152,22.052734375,1004.031611645217,46.246305247292995,0,1,2
1630651223.5658562,22.052734375,1004.0220697968747,46.18806589076426,0,1,2
1630651224.692173,22.04765625,1004.0379127342176,46.27267181870954,0,1,2
1630651225.8182776,22.04765625,1004.0449540420185,46.23551015882557,0,1,2
1630651226.9468572,22.042578125,1004.0537556787733,46.16678336961319,0,1,2
1630651228.0728676,22.042578125,1004.0449540420185,46.30973199744313,0,1,2
1630651229.2001474,22.04765625,1004.0220697968747,46.29374739696182,0,1,2
1630651230.326191,22.042578125,1004.0291111014698,46.29384911312557,0,1,2
1630651231.4517298,22.04765625,1004.0420379070966,46.34668947579647,0,1,2
1630651232.5786214,22.04765625,1004.0308714278412,46.283053208871436,0,1,2
1630651233.7056055,22.04765625,1004.0191540286005,46.29395488850938,0,1,2
1630651234.8321981,22.0376953125,1004.0138731357001,46.35727779271476,0,1,2
1630651235.959419,22.04765625,1004.0490791035076,46.34139530498124,0,1,2
1630651237.0858665,22.052734375,1004.0640463712917,46.21972800603974,0,1,2
1630651238.2125392,22.04765625,1004.0331007891754,46.26748294798895,0,1,2
1630651239.342571,22.052734375,1004.0525997022473,46.22502242437577,0,1,2
1630651240.4689078,22.0576171875,1004.0190182898193,46.25139314080227,0,1,2
1630651241.5955603,22.052734375,1004.0084564190424,46.36796860564816,0,1,2
1630651242.7221732,22.04765625,1004.0605256580686,46.198449579238066,0,1,2
1630651243.848149,22.0576171875,1004.0448183018201,46.29384911312557,0,1,2
1630651244.974378,22.0576171875,1004.0589010360671,46.23571634751848,0,1,2
1630651246.1004312,22.0576171875,1004.0203094709484,46.34668947579647,0,1,2
1630651247.2263973,22.04765625,1004.0589010360671,46.33610112592863,0,1,2
1630651248.3523505,22.0576171875,1004.0517238765692,46.24101080152462,0,1,2
1630651249.480269,22.052734375,1004.0517238765692,46.22512741479295,0,1,2
1630651250.6082346,22.052734375,1004.0502350238042,46.27267181870954,0,1,2
1630651251.7348452,22.052734375,1004.0173937308781,46.27267181870954,0,1,2
1630651252.8613143,22.04765625,1003.9921442682406,46.219832936073544,0,1,2
1630651253.9884279,22.0576171875,1004.0641820628792,46.27807174891039,0,1,2
1630651255.1149151,22.0576171875,1004.0150284937041,46.18796132303462,0,1,2
1630651256.2413278,22.052734375,1004.0518596682311,46.19865493881838,0,1,2
1630651257.3678086,22.04765625,1004.0677027478658,46.283366137014475,0,1,2
1630651258.4958985,22.04765625,1004.0291111014698,46.27807174891039,0,1,2
1630651259.62235,22.0576171875,1004.0552445889017,46.25170496754339,0,1,2
1630651260.7507617,22.0626953125,1004.0517238765692,46.103149092601136,0,1,2
