Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10
1630650984.4682093,22.04765625,1004.0267995629717,46.65351747990942,0,1,2
1630650985.5948105,22.042578125,1004.0197584832931,46.584700397384125,0,1,2
1630650986.721355,22.04765625,1004.0484746964532,46.595396976703825,0,1,2
1630650987.8467395,22.0376953125,1004.0326317543017,46.65373728891154,0,1,2
1630650988.9729755,22.04765625,1004.0431937149344,46.65373728891154,0,1,2
1630650990.0998595,22.042578125,1004.0361524074897,46.63266789883506,0,1,2
1630650991.2259989,22.0576171875,1004.0297158168057,46.600799987760986,0,1,2
1630650992.3523514,22.042578125,1004.0571406939747,46.611387513890186,0,1,2
1630650993.4788353,22.04765625,1004.0220697968747,46.64854920153966,0,1,2
1630650994.605276,22.052734375,1003.9997907585505,46.622080322510826,0,1,2
