Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10,Counts within Interval,CPM within Interval
1639162010.0768867,15.097265625,1012.3706492425974,40.313797786352126,0,0,0,0,0.0
1639162015.2067387,15.1228515625,1012.4079770466508,40.31375343823928,0,0,0,0,0.0
1639162020.3366344,15.13828125,1012.3784023080296,40.24166396897057,0,0,0,0,0.0
1639162025.4668536,15.1640625,1012.4200816783232,40.16951804324435,0,0,0,1,12.0
1639162030.5965638,15.1794921875,1012.4059941381887,40.16349904642137,0,0,0,0,0.0
1639162035.7273965,15.17421875,1012.3870322951676,40.12744718880334,0,0,0,0,0.0
1639162040.8562305,15.1896484375,1012.3606019094697,40.109387016522035,0,0,0,1,12.0
1639162045.986166,15.205078125,1012.3582818856304,40.40968949993148,0,0,0,1,12.0
1639162051.1164367,15.2873046875,1012.3602888600544,40.295371496728954,0,0,0,0,0.0
1639162056.2465055,15.3748046875,1012.3484338741217,39.880565203216115,0,0,0,0,0.0
1639162061.3774698,15.426171875,1012.3363434533088,39.519766028849446,0,0,0,0,0.0
1639162066.507653,15.436328125,1012.3388995607481,39.597845884338675,0,0,0,0,0.0
1639162071.6381118,15.5083984375,1012.3166581651362,39.6155380600651,0,0,0,0,0.0
1639162076.7664888,15.5751953125,1012.3470388053009,39.18233712236152,0,0,0,1,12.0
1639162081.8977547,15.595703125,1012.3478439443221,39.07400877311542,0,0,0,1,12.0
1639162087.028118,15.693359375,1012.3542661375426,38.93517061474944,0,0,0,0,0.0
1639162092.1596022,15.7396484375,1012.3984175559432,38.627973973144144,0,0,0,0,0.0
1639162097.2861986,15.79609375,1012.380252494418,38.784108768999886,0,0,0,0,0.0
1639162102.4160936,15.8373046875,1012.4182785014543,38.71155391252968,0,0,0,0,0.0
1639162107.5460417,15.8474609375,1012.322265945969,38.62124409225719,0,0,0,0,0.0
1639162112.6763663,15.8783203125,1012.2830635059446,38.4285408690119,0,0,0,0,0.0
1639162117.8065474,15.8732421875,1012.302352783749,38.404498936653894,0,0,0,1,12.0
1639162122.9366894,15.826953125,1012.2262493271965,38.362578414839895,0,0,0,0,0.0
1639162128.066592,15.8474609375,1012.2370833684445,38.45877382690107,0,0,0,0,0.0
1639162133.196931,15.8166015625,1012.2369082887697,38.410797148491525,0,0,0,0,0.0
1639162138.3267999,15.7859375,1012.2646383399843,38.34502066905062,0,0,0,2,24.0
1639162143.4561648,15.7037109375,1012.2625301686098,38.45378408904969,0,0,0,0,0.0
