Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10,Counts within Interval,CPM within Interval
1639168518.6173172,17.6255859375,1011.3183078222594,38.82098336883415,7168,512,1024,1,12.0
1639168523.7485867,17.759375,1011.3128293759472,38.596272024940895,7168,512,1024,5,60.0
1639168528.8783655,17.872265625,1011.3382404670436,38.24486876522836,7168,512,1024,1,12.0
1639168534.0081708,17.9751953125,1011.3224668025789,37.7783397898711,7168,512,1024,0,0.0
1639168539.1378684,18.067578125,1011.2783607534386,37.729186874488356,7168,512,1024,0,0.0
1639168544.267782,18.155078125,1011.3408004340813,37.42573957618758,7168,512,1024,2,24.0
1639168549.3977818,18.221875,1011.3164727049834,37.2735833582023,7168,512,1024,0,0.0
1639168554.5278668,18.324609375,1011.3147709484036,37.302842360030596,7168,512,1024,0,0.0
1639168559.6555493,18.4376953125,1011.1909339078867,37.652917645795846,7168,512,1024,0,0.0
1639168564.7857234,18.5404296875,1011.2788607554211,37.97895057122189,7168,512,1024,1,12.0
1639168569.915636,18.581640625,1011.2764049534184,38.117984386329226,7168,512,1024,0,0.0
1639168575.0454504,18.5712890625,1011.2751122148107,37.76076123958861,7168,512,1024,0,0.0
1639168580.175269,18.4685546875,1011.2235841698189,37.579846055218184,7168,512,1024,0,0.0
1639168585.3064044,18.3759765625,1011.2668839435089,37.471806422465995,7168,512,1024,0,0.0
1639168590.436946,18.31953125,1011.2375633820519,37.55728311091771,7168,512,1024,0,0.0
1639168595.5671587,18.298828125,1011.2678696458727,38.162810255334584,7168,512,1024,0,0.0
1639168600.6972685,18.3041015625,1011.268745209912,39.33675112869775,7168,512,1024,0,0.0
1639168605.8276286,18.360546875,1011.1845321912458,39.63902249346305,7168,512,1024,0,0.0
1639168610.957848,18.42734375,1011.1311043927615,40.122806723973454,7168,512,1024,1,12.0
1639168616.0880578,18.453125,1011.0978500145942,39.77165310885402,7168,512,1024,0,0.0
1639168621.2176301,18.4685546875,1011.0416450016191,39.045176627238696,7168,512,1024,0,0.0
1639168626.346029,18.46328125,1011.0013514466872,38.63954880573568,7168,512,1024,0,0.0
1639168631.476278,18.4787109375,1010.9936608262218,38.71216551566678,7168,512,1024,1,12.0
1639168636.6065104,18.494140625,1011.0361605060549,38.572716311698876,7168,512,1024,0,0.0
1639168641.7380128,18.530078125,1011.0227665961534,38.10622577581565,7168,512,1024,1,12.0
1639168646.8655791,18.453125,1010.9835509479351,37.51938430724379,7168,512,1024,0,0.0
1639168651.9959285,18.324609375,1010.9717662715269,37.35138395060668,7168,512,1024,0,0.0
1639168657.125657,18.1138671875,1011.0123997823,37.32327206432571,7168,512,1024,0,0.0
1639168662.2554438,17.862109375,1010.9758514006884,37.56769988550559,7168,512,1024,0,0.0
1639168667.3860602,17.5537109375,1011.0928909947708,38.048036872911666,7168,512,1024,2,24.0
1639168672.516019,17.276171875,1011.2402471110819,38.61190844032192,7168,512,1024,0,0.0
1639168677.6459165,17.0244140625,1011.307504223187,39.162706309957834,7168,512,1024,0,0.0
1639168682.7768135,16.813671875,1011.4318468534568,39.90556617378157,7168,512,1024,1,12.0
1639168687.9072304,16.5978515625,1011.4781841385425,41.09336703514045,7168,512,1024,0,0.0
1639168693.037313,16.44375,1011.5906737615932,41.5451556421981,7168,512,1024,0,0.0
1639168698.1675692,16.2689453125,1011.6311543387687,41.67152551397517,7168,512,1024,1,12.0
