Time,# of Counts Detected within Interval,CPM within Interval
1634776769.8052123,64,64.0
1634776829.8245993,6,6.0
1634776889.8850536,2,2.0
1634776949.9455135,1,1.0
1634777010.0059621,4,4.0
1634777070.034528,3,3.0
1634777130.0949366,3,3.0
1634777190.1553888,3,3.0
1634777250.2157884,4,4.0
1634777310.2762058,2,2.0
1634777370.284483,3,3.0
