Time,# of Counts Detected within Interval,CPM within Interval
1634773333.1209564,0,0.0
1634773335.1233814,41,20.5
1634773337.1258328,106,53.0
1634773339.1282296,123,61.5
1634773341.1306815,76,38.0
1634773343.1331394,0,0.0
