Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10,Counts within Interval,CPM within Interval
1639169337.1858594,15.3439453125,1011.9642169550876,43.5983201466508,3,5,7,0,0.0
1639169342.3162808,15.40546875,1011.9262162683884,43.48460075343161,3,5,7,0,0.0
1639169347.445913,15.436328125,1011.8124796516428,43.26861788236089,3,5,7,1,12.0
1639169352.5772347,15.5083984375,1011.9392383652116,43.14277460994565,3,5,7,0,0.0
1639169357.7073615,15.569921875,1012.0020580672528,42.9808674695713,3,5,7,0,0.0
1639169362.8379343,15.693359375,1011.8925346835495,42.91515853340626,3,5,7,0,0.0
1639169367.967705,15.734375,1011.9211142620941,43.35402978933145,3,5,7,1,12.0
1639169373.0973067,15.862890625,1012.0058495975501,43.576958192384005,3,5,7,0,0.0
1639169378.227121,15.95546875,1012.0107025617356,42.819899790116274,3,5,7,0,0.0
1639169383.3569627,16.0171875,1011.9333090354828,43.63784134016027,3,5,7,8,96.0
1639169388.4867098,16.0736328125,1011.8979497045142,43.9147261206951,3,5,7,0,0.0
1639169393.616309,16.130078125,1011.8096968782252,43.81282292186381,3,5,7,0,0.0
1639169398.7472262,16.1763671875,1011.7777496490963,43.11541928563362,3,5,7,0,0.0
1639169403.8768547,16.253515625,1011.7063891279527,42.97726547246306,3,5,7,1,12.0
1639169409.0067317,16.3099609375,1011.6944605767599,43.44079905649353,3,5,7,0,0.0
1639169414.1367257,16.458984375,1011.5651550844916,42.201466599339746,3,5,7,0,0.0
1639169419.2666252,16.556640625,1011.4639909176099,41.50300355059653,3,5,7,0,0.0
1639169424.3965988,16.654296875,1011.4699118113749,41.25598909985399,3,5,7,0,0.0
1639169429.5255737,16.7263671875,1011.4325815722959,40.94861893155159,3,5,7,0,0.0
1639169434.6555674,16.8033203125,1011.3872743261807,41.12932156384008,3,5,7,0,0.0
1639169439.7859907,16.849609375,1011.363740580463,40.622886917065046,3,5,7,0,0.0
1639169444.9158864,16.9267578125,1011.3878543590487,40.50214498421427,3,5,7,0,0.0
