Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10,Counts within Interval,CPM within Interval
1639162880.7039907,14.2955078125,1012.4944784382004,41.567923091404786,0,0,0,0,0.0
1639162885.8362436,14.3314453125,1012.4781924854218,41.5919027042505,0,0,0,0,0.0
1639162890.9670744,14.346875,1012.520756728207,41.621893518994895,0,0,0,0,0.0
1639162896.0973847,14.346875,1012.5081481358885,41.66984577791012,0,0,0,0,0.0
1639162901.227691,14.351953125,1012.4673474270094,41.62789828746497,0,0,0,1,12.0
1639162906.3587432,14.3572265625,1012.4811196939173,41.96345342051586,0,0,0,1,12.0
1639162911.4880943,14.377734375,1012.429638230577,42.7124687546383,0,0,0,2,24.0
1639162916.618184,14.377734375,1012.4847313195947,42.07738843988747,0,0,0,0,0.0
1639162921.7490737,14.3982421875,1012.5424698225979,42.089418632322,0,0,0,1,12.0
1639162926.8793104,14.44453125,1012.4737950783409,42.185397694069195,0,0,0,1,12.0
1639162932.009328,14.4599609375,1012.4720732218477,42.02963164967207,0,0,0,0,0.0
1639162937.1394272,14.4703125,1012.4207664598248,41.96973561044827,0,0,0,0,0.0
1639162942.2693818,14.501171875,1012.4276542124513,41.87985171489088,0,0,0,0,0.0
1639162947.3995557,14.4958984375,1012.4362639048794,41.688016561617566,0,0,0,0,0.0
1639162952.529613,14.4703125,1012.4253012235213,41.74194492961507,0,0,0,0,0.0
1639162957.6602874,14.4703125,1012.4419560542723,41.86182621952975,0,0,0,1,12.0
1639162962.790476,14.4958984375,1012.413878708368,41.382293244223895,0,0,0,0,0.0
1639162967.9214468,13.648046875,1012.4660534919827,41.20243873084073,0,0,0,0,0.0
1639162973.051697,14.5935546875,1012.4000776653526,41.136478570460575,0,0,0,1,12.0
1639162978.1830974,14.60390625,1012.4167654922219,41.154468686565366,0,0,0,0,0.0
1639162983.3138826,14.5935546875,1012.485939793058,41.13048157737778,0,0,0,0,0.0
1639162988.4442778,14.6552734375,1012.4599385314617,40.998530675892084,0,0,0,1,12.0
1639162993.574676,14.680859375,1012.4313038966234,41.106483977483705,0,0,0,0,0.0
1639162998.7057981,14.71171875,1012.4885029300431,40.9625199002591,0,0,0,1,12.0
1639163003.8357663,14.732421875,1012.4586779809507,40.71654531067714,0,0,0,1,12.0
1639163008.9658763,14.7580078125,1012.4612930357355,40.554523986639445,0,0,0,1,12.0
1639163014.0960379,14.7529296875,1012.5250642136249,40.54850900452867,0,0,0,0,0.0
1639163019.226156,14.7271484375,1012.5152368076474,40.65054634739367,0,0,0,1,12.0
1639163024.3561766,14.6861328125,1012.498765733476,40.84255934144333,0,0,0,0,0.0
1639163029.4872284,14.7015625,1012.4721040859273,40.716577694782636,0,0,0,0,0.0
1639163034.6172926,14.6962890625,1012.4766984157599,40.55459008976223,0,0,0,0,0.0
1639163039.7473843,14.732421875,1012.4916944584047,40.57255227211518,0,0,0,1,12.0
1639163044.8773198,14.768359375,1012.4989364578219,40.52450092502282,0,0,0,2,24.0
1639163050.0076432,14.79921875,1012.5078967479478,40.43446152285477,0,0,0,1,12.0
1639163055.137641,14.8197265625,1012.46973803201,40.452402464054444,0,0,0,0,0.0
1639163060.2642434,14.840234375,1012.4887382901017,40.362315639249964,0,0,0,1,12.0
