Time,# of Counts Detected within Interval,CPM within Interval
1634774054.211661,18,3.6
1634774059.2171733,38,7.6
1634774064.222573,32,6.4
1634774069.227964,34,6.8
1634774074.2333992,14,2.8
1634774079.2388031,29,5.8
1634774084.2442055,18,3.6
1634774089.2496657,31,6.2
1634774094.2550738,26,5.2
1634774099.2604868,28,5.6
1634774104.2659433,28,5.6
1634774109.2713478,24,4.8
1634774114.2767675,20,4.0
