Time,# of Counts Detected within Interval,CPM within Interval
1634775803.2991297,0,0.0
1634775863.3596642,7,7.0
1634775923.4201198,2,2.0
1634775983.4799206,3,3.0
1634776043.5399458,3,3.0
1634776103.6004062,1,1.0
1634776163.6608682,5,5.0
1634776223.7213318,4,4.0
1634776283.78181,3,3.0
1634776343.8422859,3,3.0
1634776403.9027348,1,1.0
