Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10,Counts within Interval,CPM within Interval
1639170513.1052907,16.9935546875,1012.9478205245127,41.01455074379832,2560,1792,0,0,0.0
1639170518.2355409,17.008984375,1012.9246812352411,40.743161104193945,2560,1792,0,6,72.0
1639170523.3655603,17.0294921875,1012.8984027271732,40.60440618655366,2560,1792,0,1,12.0
1639170528.495721,17.05,1012.9143320791103,40.43550159105339,2560,1792,0,1,12.0
1639170533.6258757,17.03984375,1012.9188030922871,40.33299205579139,2560,1792,0,0,0.0
1639170538.7563586,17.0244140625,1012.9004644349486,40.706956103266066,2560,1792,0,0,0.0
1639170543.8864837,16.9986328125,1012.8762737595931,40.767283653194895,2560,1792,0,1,12.0
1639170549.016861,17.03984375,1012.8531051054055,41.189386108814574,2560,1792,0,0,0.0
1639170554.146803,17.0244140625,1012.8565628915353,40.94215162015628,2560,1792,0,1,12.0
1639170559.2758205,17.044921875,1012.8472511253121,40.29080126092008,2560,1792,0,0,0.0
1639170564.4058266,17.070703125,1012.853136155176,39.89860445733802,2560,1792,0,0,0.0
1639170569.5359983,17.0552734375,1012.8431110508114,39.88050626765009,2560,1792,0,0,0.0
1639170574.6661396,17.070703125,1012.845536343496,39.91059013495643,2560,1792,0,0,0.0
1639170579.796598,17.070703125,1012.8386202117273,39.88038410488949,2560,1792,0,0,0.0
1639170584.925958,17.0962890625,1012.851767779793,39.83806826914554,2560,1792,0,0,0.0
1639170590.0559554,17.1220703125,1012.8199579587309,39.82591706622564,2560,1792,0,0,0.0
1639170595.1860282,17.142578125,1012.8628692794991,39.88013855262974,2560,1792,0,0,0.0
1639170600.3172588,17.1837890625,1012.8386719783074,39.98252171795355,2560,1792,0,0,0.0
1639170605.4471164,17.2248046875,1012.7802163494167,40.20575928004754,2560,1792,0,0,0.0
1639170610.5772398,17.2453125,1012.8307092590061,40.10910121314066,2560,1792,0,0,0.0
1639170615.7083957,17.312109375,1012.899532089627,40.30807280207072,2560,1792,0,0,0.0
1639170620.8386226,17.3634765625,1012.9693871529818,40.06039116183746,2560,1792,0,1,12.0
1639170625.968793,17.3634765625,1012.9939634033384,39.933640452154805,2560,1792,0,0,0.0
1639170631.0988963,17.276171875,1013.0354914041894,39.35449594507896,2560,1792,0,0,0.0
1639170636.2290773,17.1939453125,1013.1461437735514,39.541971631624136,2560,1792,0,1,12.0
1639170641.3591213,17.1015625,1013.2148752676885,39.93456345075441,2560,1792,0,0,0.0
1639170646.4891639,17.0193359375,1013.2790849722331,39.86257140894973,2560,1792,0,0,0.0
1639170651.6158202,16.9216796875,1013.3449863181289,39.6638653088153,2560,1792,0,0,0.0
1639170656.7466333,16.875390625,1013.3642469279383,39.97767466849416,2560,1792,0,0,0.0
1639170661.8764873,16.84453125,1013.360708897156,39.91149796516125,2560,1792,0,0,0.0
1639170667.0063598,16.81875,1013.3519696978717,40.20097665194335,2560,1792,0,0,0.0
1639170672.136385,16.7931640625,1013.3388023005004,41.09316458060094,2560,1792,0,0,0.0
