Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1634790233.9050243,0,0,0,33.0
1634790243.594609,0,0,0,25.8
1634790253.576343,0,0,0,26.0
1634790263.4319198,0,0,0,26.4
1634790273.2601314,0,0,0,23.2
1634790283.046856,0,0,0,21.2
1634790292.8769302,0,0,0,35.2
1634790302.6701536,0,0,0,28.6
1634790312.5655541,0,0,0,32.2
1634790322.7490194,0,0,0,34.8
1634790332.6686275,0,0,0,32.0
1634790342.5010016,0,0,0,34.0
